id,private,size,nace,region,single_shift
682,1,L,C,12,FALSE
683,1,M,C,10,TRUE
684,1,L,C,18,TRUE
685,1,M,Q,14,FALSE
686,1,M,C,14,TRUE
687,1,L,C,20,FALSE
688,1,L,C,24,FALSE
689,1,L,C,12,FALSE
690,1,L,C,06,TRUE
691,1,L,C,10,FALSE
692,1,L,C,10,TRUE
693,1,L,C,16,FALSE
694,1,L,C,16,TRUE
695,1,M,C,14,FALSE
696,1,M,C,02,FALSE
697,1,L,N,04,FALSE
698,1,M,C,28,TRUE
699,1,L,C,22,TRUE
700,1,L,C,24,TRUE
701,1,M,C,24,TRUE
702,1,M,C,22,TRUE
703,1,L,C,12,FALSE
704,1,L,N,10,FALSE
705,1,L,N,28,TRUE
706,1,L,C,30,TRUE
707,1,L,C,30,FALSE
708,1,L,C,18,FALSE
709,1,L,C,32,TRUE
710,1,L,C,02,TRUE
711,1,L,N,02,FALSE
712,1,M,C,12,FALSE
713,1,L,C,30,TRUE
714,1,L,K.L,20,TRUE
715,1,L,K.L,20,TRUE
716,1,L,K.L,04,TRUE
717,1,M,K.L,22,TRUE
718,1,L,K.L,24,TRUE
719,1,L,K.L,24,TRUE
720,1,L,K.L,32,TRUE
721,1,M,K.L,32,TRUE
722,1,M,K.L,12,TRUE
723,1,L,K.L,12,TRUE
724,1,M,K.L,06,TRUE
725,1,L,K.L,06,TRUE
726,1,M,K.L,10,FALSE
727,1,M,K.L,28,TRUE
728,1,L,K.L,28,TRUE
729,1,L,K.L,30,TRUE
730,1,M,K.L,30,TRUE
731,1,L,K.L,18,TRUE
732,1,S,K.L,14,FALSE
733,1,L,K.L,14,TRUE
734,1,L,K.L,02,TRUE
735,1,L,K.L,02,TRUE
736,1,L,K.L,02,TRUE
737,1,M,K.L,02,TRUE
738,1,M,K.L,02,TRUE
739,1,L,K.L,04,TRUE
740,1,L,K.L,04,TRUE
741,1,M,K.L,22,TRUE
742,1,L,K.L,22,FALSE
743,1,L,K.L,32,TRUE
744,1,L,K.L,06,FALSE
745,1,L,K.L,10,FALSE
746,1,L,K.L,10,TRUE
747,1,L,K.L,30,FALSE
748,1,M,K.L,18,TRUE
749,1,L,K.L,14,TRUE
750,1,L,K.L,14,TRUE
751,1,M,K.L,08,TRUE
752,1,L,C,20,FALSE
753,0,L,O,24,TRUE
754,0,L,O,28,TRUE
755,0,L,O,22,TRUE
756,0,L,O,24,TRUE
757,0,L,O,06,TRUE
758,0,L,O,10,TRUE
759,0,L,O,28,TRUE
760,0,L,O,28,TRUE
761,0,L,O,28,TRUE
762,0,L,O,18,TRUE
763,0,L,O,02,TRUE
764,0,L,O,24,TRUE
765,0,L,O,28,TRUE
766,0,L,O,32,FALSE
767,0,L,O,04,TRUE
768,0,L,O,32,TRUE
769,0,L,O,10,TRUE
770,0,M,O,02,TRUE
771,0,L,O,04,TRUE
772,0,L,O,30,TRUE
773,0,L,O,04,TRUE
774,0,L,O,04,TRUE
775,0,L,O,04,FALSE
776,0,M,O,04,TRUE
777,0,L,O,14,TRUE
778,0,L,O,26,FALSE
779,0,M,O,30,TRUE
780,0,M,O,30,TRUE
781,0,L,O,32,TRUE
782,0,L,O,32,TRUE
783,0,M,O,32,TRUE
784,0,L,O,14,TRUE
785,0,L,O,14,TRUE
786,0,M,O,14,TRUE
787,0,M,O,02,TRUE
788,0,L,O,04,FALSE
789,0,L,O,04,TRUE
790,0,L,O,32,FALSE
791,0,L,O,32,TRUE
792,0,L,O,28,TRUE
793,0,L,O,28,TRUE
794,0,L,O,28,TRUE
795,0,L,O,18,TRUE
796,0,L,O,32,FALSE
797,0,L,O,04,TRUE
798,0,M,O,04,FALSE
799,0,L,O,12,TRUE
800,0,L,O,32,TRUE
801,0,M,O,28,TRUE
802,0,L,O,04,TRUE
803,0,M,O,04,TRUE
804,0,L,O,04,TRUE
805,0,M,O,28,TRUE
806,0,L,O,26,TRUE
807,0,M,O,14,TRUE
808,0,L,O,10,TRUE
809,0,L,O,10,TRUE
810,0,M,O,10,TRUE
811,0,M,O,28,TRUE
812,0,M,O,28,TRUE
813,0,M,O,30,TRUE
814,0,L,O,30,TRUE
815,0,L,O,18,TRUE
816,0,M,O,14,TRUE
817,0,M,O,14,TRUE
818,0,M,O,28,TRUE
819,0,L,O,22,TRUE
820,0,M,Q,04,TRUE
821,0,L,O,14,TRUE
822,0,M,O,14,TRUE
823,0,L,O,10,TRUE
824,0,M,O,26,TRUE
825,0,M,O,28,TRUE
826,0,L,O,28,TRUE
827,0,M,O,28,TRUE
828,0,L,O,02,TRUE
829,0,L,O,04,TRUE
830,0,M,O,04,TRUE
831,0,M,O,04,FALSE
832,0,L,O,22,TRUE
833,0,M,O,12,TRUE
834,0,L,O,06,TRUE
835,0,M,O,06,TRUE
836,0,L,O,28,TRUE
837,0,M,O,28,TRUE
838,0,L,O,18,TRUE
839,0,M,O,02,TRUE
840,0,M,O,08,TRUE
841,0,M,O,28,TRUE
842,0,M,O,20,TRUE
843,0,M,O,24,TRUE
844,0,L,O,10,TRUE
845,0,M,O,26,TRUE
846,0,M,O,22,TRUE
847,0,L,O,10,TRUE
848,0,M,O,18,TRUE
849,0,M,O,18,TRUE
850,0,M,O,14,TRUE
851,0,M,O,22,TRUE
852,0,M,O,04,TRUE
853,0,M,O,14,TRUE
854,0,M,O,14,TRUE
855,0,M,O,18,TRUE
856,0,L,O,18,TRUE
857,0,M,O,14,TRUE
858,0,L,O,14,TRUE
859,0,M,O,08,TRUE
860,0,M,O,20,TRUE
861,0,L,O,04,TRUE
862,0,M,O,22,TRUE
863,0,M,O,22,TRUE
864,0,M,O,14,TRUE
865,0,M,O,28,TRUE
866,0,M,O,30,TRUE
867,0,M,O,14,TRUE
868,0,M,O,06,TRUE
869,0,M,O,16,TRUE
870,0,M,O,30,TRUE
871,0,L,O,30,TRUE
872,0,M,O,18,TRUE
873,0,L,O,32,TRUE
874,0,M,O,18,TRUE
875,0,L,O,18,TRUE
876,0,M,O,02,TRUE
877,0,M,O,04,TRUE
878,0,M,O,10,TRUE
879,0,M,O,14,TRUE
880,0,M,O,20,TRUE
881,0,M,O,12,TRUE
882,0,M,O,06,TRUE
883,0,M,O,06,TRUE
884,0,M,O,06,TRUE
885,0,M,O,04,FALSE
886,0,L,O,26,TRUE
887,0,M,O,22,TRUE
888,1,L,C,24,TRUE
889,0,M,P,10,TRUE
890,0,L,Q,30,FALSE
891,0,M,P,02,TRUE
892,0,L,P,02,TRUE
893,0,M,R.S,02,TRUE
894,0,L,P,06,TRUE
895,0,M,Q,32,TRUE
896,0,L,O,22,TRUE
897,1,M,G,28,TRUE
898,0,L,P,02,TRUE
899,0,L,P,02,TRUE
900,0,L,O,22,FALSE
901,0,L,H,14,FALSE
902,0,L,H,14,FALSE
903,0,L,H,20,TRUE
904,1,L,G,02,FALSE
905,0,L,P,30,FALSE
