id,private,size,nace,region,weight
753,0,L,Q,24,1
754,0,L,O,18,1
755,0,M,R.S,18,1
756,0,L,O,28,1
757,0,L,O,24,6
758,0,L,P,30,1
759,0,L,M,24,1
760,0,L,P,02,1
761,0,L,P,02,1
762,0,L,P,02,1
763,0,L,P,02,1
764,0,L,P,26,1
765,0,S,Q,30,14
766,0,M,R.S,24,5
767,0,M,P,12,9
768,0,L,P,12,1
769,0,L,P,06,1
770,0,L,P,24,6
771,0,M,R.S,24,1
772,0,L,P,28,1
773,0,L,P,28,1
774,0,L,P,02,2
775,0,L,P,24,1
776,0,L,P,24,6
777,0,M,P,24,6
778,0,L,P,24,6
779,0,L,P,24,1
780,0,L,P,12,9
781,0,L,P,24,1
782,0,L,P,24,6
783,0,L,P,24,7
784,0,M,P,12,9
785,0,L,P,10,1
786,0,L,P,10,6
787,0,M,P,20,6
788,0,L,P,20,1
789,0,L,P,24,6
790,0,M,P,16,6
791,0,L,P,06,1
792,1,L,G,24,2
793,1,L,G,24,1
794,1,M,G,14,26
795,1,L,I,30,2
796,0,L,R.S,24,1
797,0,L,R.S,24,4
798,1,L,K.L,02,1
799,1,M,C,06,13
800,1,L,C,06,1
801,0,L,P,14,8
802,0,L,P,14,1
803,0,L,P,14,2
804,0,L,P,14,1
805,0,L,P,14,1
806,0,L,P,14,1
807,0,L,P,14,1
808,0,L,P,14,1
809,0,L,P,14,9
810,0,L,P,14,8
811,0,L,P,14,1
812,0,L,P,14,1
813,0,L,P,14,1
814,0,L,P,14,1
815,0,L,P,14,1
816,0,L,P,14,1
817,0,L,P,14,1
818,0,L,P,14,1
819,0,L,P,14,1
820,0,L,Q,12,1
821,0,L,P,10,1
822,1,L,K.L,10,1
823,0,L,P,04,1
824,0,M,R.S,24,1
825,1,L,N,22,1
826,0,L,R.S,16,1
827,1,L,K.L,22,1
828,0,L,C,14,1
829,0,L,P,14,8
830,0,S,R.S,14,5
831,0,L,Q,02,1
832,0,M,M,14,22
833,0,L,M,30,1
834,0,S,P,20,8
835,0,L,O,14,1
836,1,L,C,10,1
837,1,L,C,10,18
838,1,L,C,10,1
839,0,L,Q,24,2
840,0,L,O,22,1
841,0,L,O,24,1
842,0,L,O,10,1
843,0,L,O,32,1
844,0,L,O,02,1
845,0,L,O,08,1
846,1,L,G,24,1
847,1,L,G,14,1
848,1,L,G,14,1
849,1,L,G,14,1
850,0,L,P,30,1
851,0,L,Q,12,11
852,0,S,R.S,14,4
853,0,L,Q,28,1
854,1,L,G,06,1
855,1,L,G,04,1
856,0,M,K.L,02,1
857,0,L,P,30,1
858,0,M,R.S,16,1
859,1,L,G,28,2
860,1,L,G,28,1
861,1,M,G,26,1
862,1,L,G,32,1
863,0,L,Q,14,1
864,0,L,R.S,08,1
865,1,L,G,16,1
866,1,L,G,02,1
867,0,L,Q,28,1
868,1,L,G,02,1
869,1,M,G,22,1
870,1,L,G,04,1
871,1,M,K.L,02,7
872,0,S,R.S,24,5
873,0,L,Q,22,1
874,0,L,Q,22,2
875,0,L,P,16,1
876,0,L,Q,24,1
877,1,M,K.L,22,1
878,1,L,G,12,2
879,0,L,Q,14,2
880,0,L,O,02,1
881,0,L,O,02,1
882,0,L,O,02,1
883,0,L,O,02,1
884,0,L,O,02,1
885,0,L,O,02,1
886,0,L,O,02,1
887,0,L,O,02,1
888,0,L,O,02,1
889,0,L,O,14,1
890,0,L,O,14,1
891,0,L,O,14,1
892,0,L,O,14,1
893,0,L,O,14,1
894,0,L,O,14,1
895,0,L,O,14,1
896,0,L,O,14,1
897,0,L,O,14,1
898,0,L,O,14,1
899,0,L,O,14,1
900,0,L,O,14,1
901,0,L,O,14,1
902,0,L,O,14,1
903,0,L,O,20,1
904,0,L,O,20,5
905,0,L,O,20,5
906,0,L,O,20,1
907,0,L,O,04,1
908,0,L,O,04,1
909,0,L,O,04,1
910,0,L,O,04,1
911,0,L,O,22,1
912,0,L,O,24,1
913,0,L,O,24,1
914,0,L,O,24,1
915,0,L,O,24,1
916,0,L,O,24,1
917,0,L,O,24,1
918,0,L,O,12,1
919,0,L,O,10,1
920,0,L,O,10,1
921,0,L,O,10,1
922,0,L,O,10,1
923,0,L,O,10,1
924,0,L,O,28,1
925,0,L,O,18,1
926,0,L,O,18,1
927,0,L,O,18,1
928,0,L,O,18,1
929,0,L,O,18,1
930,0,L,M,14,1
931,1,L,G,18,1
932,0,L,Q,10,1
933,1,L,G,02,1
934,1,L,G,16,1
935,0,L,N,04,1
936,0,L,P,22,1
937,0,L,R.S,12,1
938,0,L,N,28,1
939,0,L,P,30,1
940,0,M,R.S,12,2
941,0,M,R.S,14,1
942,1,L,G,14,1
943,1,M,K.L,12,7
944,1,L,K.L,24,1
945,0,L,M,32,1
946,0,L,R.S,24,1
947,1,L,G,14,1
948,1,L,G,20,1
949,1,L,G,30,2
950,1,L,G,30,1
951,1,L,G,30,2
952,0,L,M,08,1
953,1,L,G,26,2
954,1,L,G,26,17
955,0,L,P,14,1
956,1,L,C,14,1
957,1,L,G,12,2
958,0,L,O,14,1
959,1,M,K.L,22,1
960,0,M,R.S,02,1
961,0,L,Q,32,1
962,1,L,K.L,14,1
963,0,L,Q,24,1
964,0,L,Q,24,1
965,0,L,P,14,8
966,0,L,P,24,1
967,1,L,K.L,30,1
968,0,L,P,30,1
969,1,L,G,20,1
970,1,S,K.L,32,7
971,1,M,K.L,04,1
972,1,M,K.L,16,1
973,1,L,C,06,1
974,1,L,G,12,1
975,0,L,Q,08,1
976,0,L,O,32,1
977,0,L,Q,02,1
978,0,L,O,02,1
979,0,L,P,14,1
980,0,L,P,10,1
981,1,L,G,12,1
982,1,L,G,12,1
983,0,L,O,14,1
984,0,M,R.S,08,2
985,0,L,M,14,1
986,0,M,P,18,7
987,0,M,P,28,7
988,0,M,P,16,6
989,0,M,P,22,6
990,0,M,P,32,7
991,0,L,P,02,6
992,0,L,P,02,1
993,0,L,P,02,1
994,0,M,P,02,7
995,0,M,P,16,6
996,0,M,P,12,8
997,0,S,P,24,12
998,0,M,P,24,6
999,0,L,P,26,1
1000,0,M,P,32,7
1001,0,L,Q,24,1
1002,0,L,O,10,1
1003,0,L,R.S,24,1
1004,0,M,P,02,7
1005,1,L,K.L,26,1
1006,0,L,R.S,14,1
1007,0,L,Q,24,1
1008,0,L,M,24,1
1009,0,L,Q,24,1
1010,1,L,I,14,1
1011,0,L,P,02,1
1012,0,L,P,26,1
1013,1,M,K.L,10,7
1014,0,L,P,28,1
1015,1,M,J,24,12
1016,1,L,F,12,2
1017,1,M,K.L,08,1
1018,1,M,K.L,04,8
1019,1,L,C,32,1
1020,1,L,C,10,1
1021,1,L,R.S,30,1
1022,1,M,J,02,10
1023,0,L,P,18,1
1024,1,L,Q,10,1
1025,1,M,R.S,04,1
1026,1,L,C,28,1
1027,0,L,Q,24,1
1028,1,L,H,14,1
1029,1,L,C,08,1
1030,1,M,F,12,19
1031,1,L,C,12,2
1032,1,L,C,04,1
1033,1,L,C,30,2
1034,1,M,J,14,20
1035,1,L,C,04,1
1036,1,L,C,22,15
1037,1,L,C,02,1
1038,0,M,Q,04,10
1039,0,L,P,06,1
1040,1,L,G,04,1
1041,1,M,H,22,15
1042,1,L,I,14,2
1043,1,S,C,10,78
1044,0,L,P,24,1
1045,1,L,C,06,1
1046,0,L,O,14,1
1047,1,L,C,04,1
1048,1,L,C,12,1
1049,1,M,C,30,29
1050,1,L,C,14,1
1051,1,L,C,32,2
1052,1,L,C,14,1
1053,1,L,C,12,1
1054,1,L,J,18,1
1055,1,L,F,18,2
1056,1,L,M,14,1
1057,1,S,G,14,165
1058,1,L,C,14,1
1059,1,L,G,14,1
1060,0,L,Q,14,1
1061,1,L,C,30,1
1062,1,L,C,20,1
1063,0,L,Q,14,1
1064,1,L,I,14,1
1065,0,S,Q,06,12
1066,1,L,C,20,2
1067,1,L,H,20,1
1068,1,L,C,20,1
1069,1,L,G,20,1
1070,1,M,F,24,1
1071,0,L,D.E,24,1
1072,0,L,R.S,24,1
1073,1,M,K.L,04,1
1074,0,L,K.L,04,1
1075,1,M,G,04,1
1076,1,L,C,04,1
1077,1,L,C,04,1
1078,1,L,C,14,1
1079,1,L,C,24,1
1080,1,L,C,24,1
1081,1,L,C,24,1
1082,1,L,C,24,1
1083,1,M,D.E,24,1
1084,0,L,Q,28,1
1085,1,M,I,22,12
1086,1,L,C,22,1
1087,1,S,N,22,26
1088,0,L,Q,22,2
1089,1,L,C,22,1
1090,1,M,N,22,13
1091,1,L,C,22,1
1092,1,L,C,22,1
1093,1,L,F,22,1
1094,0,M,Q,30,11
1095,1,L,G,32,1
1096,1,L,C,08,1
1097,1,L,G,02,1
1098,1,L,C,02,1
1099,1,L,C,02,1
1100,0,L,Q,30,1
1101,1,L,F,30,1
1102,1,L,C,30,1
1103,1,L,C,24,1
1104,0,L,Q,24,1
1105,0,L,Q,24,1
1106,0,L,Q,24,1
1107,0,L,Q,24,1
1108,0,L,Q,24,1
1109,0,L,Q,24,1
